========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
196         convolution.relu.pooling.layer2_2            451
187         activation.layer_3                           622
177         convolution.relu.pooling.layer2_2            686
174         activation.layer_3                           317
172         convolution.relu.pooling.layer2_2            213
154         activation.layer_3                           158
182         convolution.relu.pooling.layer2_2            213
170         activation.layer_3                           158
194         convolution.relu.pooling.layer2_2            86
186         activation.layer_3                           158
184         convolution.relu.pooling.layer2_2            190
171         activation.layer_3                           158
153         convolution.relu.pooling.layer2_2            117
134         convolution.relu.pooling.layer2_2            215
117         activation.layer_3                           313
103         convolution.relu.pooling.layer2_2            681
93          activation.layer_3                           158
80          convolution.relu.pooling.layer2_2            184
76          activation.layer_3                           81
147         convolution.relu.pooling.layer2_2            184
128         activation.layer_3                           81
168         convolution.relu.pooling.layer2_2            105
166         activation.layer_3                           81
149         convolution.relu.pooling.layer2_2            123
129         activation.layer_3                           81
113         convolution.relu.pooling.layer2_2            61
151         convolution.relu.pooling.layer2_2            105
133         activation.layer_3                           81
130         convolution.relu.pooling.layer2_2            123
114         activation.layer_3                           81
100         convolution.relu.pooling.layer2_2            61
132         convolution.relu.pooling.layer2_2            105
115         activation.layer_3                           81
101         convolution.relu.pooling.layer2_2            123
92          activation.layer_3                           81
91          convolution.relu.pooling.layer2_2            61
58          convolution.relu.pooling.layer2_2            211
44          activation.layer_3                           158
169         convolution.relu.pooling.layer2_2            686
164         activation.layer_3                           81
162         convolution.relu.pooling.layer2_2            73
146         activation.layer_3                           42
208         convolution.relu.pooling.layer2_2            73
198         activation.layer_3                           42
216         convolution.relu.pooling.layer2_2            45
211         activation.layer_3                           42
205         convolution.relu.pooling.layer2_2            122
199         activation.layer_3                           42
188         convolution.relu.pooling.layer2_2            32
203         convolution.relu.pooling.layer2_2            45
201         activation.layer_3                           42
200         convolution.relu.pooling.layer2_2            122
189         activation.layer_3                           42
178         convolution.relu.pooling.layer2_2            32
193         convolution.relu.pooling.layer2_2            45
191         activation.layer_3                           42
181         convolution.relu.pooling.layer2_2            122
179         activation.layer_3                           42
161         convolution.relu.pooling.layer2_2            32
126         convolution.relu.pooling.layer2_2            145
112         activation.layer_3                           81
176         convolution.relu.pooling.layer2_2            888
158         activation.layer_3                           42
157         convolution.relu.pooling.layer2_2            87
138         activation.layer_3                           23
122         pooling.layer2                               1059
139         pooling.layer2                               706
140         pooling.layer2                               823
107         convolution.relu.pooling.layer2_2            336
96          activation.layer_3                           42
95          convolution.relu.pooling.layer2_2            87
85          activation.layer_3                           23
155         convolution.relu.pooling.layer2_2            87
137         activation.layer_3                           23
136         convolution.relu.pooling.layer2_2            46
119         activation.layer_3                           23
105         convolution.relu.pooling.layer2_2            213
94          activation.layer_3                           23
81          convolution.relu.pooling.layer2_2            171
64          activation.layer_3                           42
48          convolution.relu.pooling.layer2_2            87
36          activation.layer_3                           23
125         tensorscale.layer                            571
98          convolution.relu.pooling.layer2_2            141
90          activation.layer_3                           42
159         convolution.relu.pooling.layer2_2            141
143         activation.layer_3                           42
142         convolution.relu.pooling.layer2_2            45
123         activation.layer_3                           42
109         convolution.relu.pooling.layer2_2            122
97          activation.layer_3                           42
87          convolution.relu.pooling.layer2_2            145
70          activation.layer_3                           81
53          convolution.relu.pooling.layer2_2            73
40          activation.layer_3                           42
57          tensorscale.layer                            571
31          convolution.relu.pooling.layer2_2            340
23          activation.layer_3                           81
89          convolution.relu.pooling.layer2_2            340
73          activation.layer_3                           81
72          convolution.relu.pooling.layer2_2            105
55          activation.layer_3                           81
41          convolution.relu.pooling.layer2_2            123
30          activation.layer_3                           81
16          convolution.relu.pooling.layer2_2            211
11          activation.layer_3                           158
8           convolution.relu.pooling.layer2_2            306
68          convolution.relu.pooling.layer2_2            337
52          activation.layer_3                           42
28          convolution.relu.pooling.layer2_2            73
21          activation.layer_3                           42
83          convolution.relu.pooling.layer2_2            73
67          activation.layer_3                           42
66          convolution.relu.pooling.layer2_2            45
50          activation.layer_3                           42
37          convolution.relu.pooling.layer2_2            121
27          activation.layer_3                           42
14          convolution.relu.pooling.layer2_2            145
10          activation.layer_3                           81
7           convolution.relu.pooling.layer2_2            149
62          convolution.relu.pooling.layer2_2            434
47          activation.layer_3                           23
25          convolution.relu.pooling.layer2_2            87
19          activation.layer_3                           23
77          convolution.relu.pooling.layer2_2            87
61          activation.layer_3                           23
60          convolution.relu.pooling.layer2_2            46
45          activation.layer_3                           23
33          convolution.relu.pooling.layer2_2            206
24          activation.layer_3                           23
12          convolution.relu.pooling.layer2_2            171
9           activation.layer_3                           42
6           convolution.relu.pooling.layer2_2            93
Total Time(us): 20594
FPS(600MHz): 36.42
FPS(800MHz): 48.56
Note: Time of each layer is converted according to 800MHz!
========================================================================
