========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
246         convolution.relu.pooling.layer2_2            451
235         activation.layer_3                           622
234         convolution.relu.pooling.layer2_2            686
231         activation.layer_3                           317
215         convolution.relu.pooling.layer2_2            213
199         activation.layer_3                           158
241         convolution.relu.pooling.layer2_2            213
229         activation.layer_3                           158
258         convolution.relu.pooling.layer2_2            86
245         activation.layer_3                           158
243         convolution.relu.pooling.layer2_2            190
230         activation.layer_3                           158
214         convolution.relu.pooling.layer2_2            117
180         convolution.relu.pooling.layer2_2            215
166         activation.layer_3                           313
165         convolution.relu.pooling.layer2_2            681
149         activation.layer_3                           158
145         convolution.relu.pooling.layer2_2            184
128         activation.layer_3                           81
190         convolution.relu.pooling.layer2_2            184
174         activation.layer_3                           81
212         convolution.relu.pooling.layer2_2            105
210         activation.layer_3                           81
192         convolution.relu.pooling.layer2_2            123
175         activation.layer_3                           81
161         convolution.relu.pooling.layer2_2            61
197         convolution.relu.pooling.layer2_2            105
194         activation.layer_3                           81
176         convolution.relu.pooling.layer2_2            123
162         activation.layer_3                           81
143         convolution.relu.pooling.layer2_2            61
196         convolution.relu.pooling.layer2_2            105
178         activation.layer_3                           81
163         convolution.relu.pooling.layer2_2            123
144         activation.layer_3                           81
127         convolution.relu.pooling.layer2_2            61
109         convolution.relu.pooling.layer2_2            211
103         activation.layer_3                           158
256         convolution.relu.pooling.layer2_2            686
254         activation.layer_3                           81
239         convolution.relu.pooling.layer2_2            73
228         activation.layer_3                           42
275         convolution.relu.pooling.layer2_2            73
264         activation.layer_3                           42
284         convolution.relu.pooling.layer2_2            45
280         activation.layer_3                           42
277         convolution.relu.pooling.layer2_2            122
265         activation.layer_3                           42
250         convolution.relu.pooling.layer2_2            32
279         convolution.relu.pooling.layer2_2            45
270         activation.layer_3                           42
266         convolution.relu.pooling.layer2_2            122
251         activation.layer_3                           42
237         convolution.relu.pooling.layer2_2            32
268         convolution.relu.pooling.layer2_2            45
257         activation.layer_3                           42
252         convolution.relu.pooling.layer2_2            122
238         activation.layer_3                           42
227         convolution.relu.pooling.layer2_2            32
209         convolution.relu.pooling.layer2_2            145
207         activation.layer_3                           81
248         convolution.relu.pooling.layer2_2            888
236         activation.layer_3                           42
226         convolution.relu.pooling.layer2_2            87
219         activation.layer_3                           23
203         pooling.layer2                               1059
220         pooling.layer2                               706
221         pooling.layer2                               823
184         convolution.relu.pooling.layer2_2            336
169         activation.layer_3                           42
157         convolution.relu.pooling.layer2_2            87
155         activation.layer_3                           23
233         convolution.relu.pooling.layer2_2            87
217         activation.layer_3                           23
200         convolution.relu.pooling.layer2_2            46
183         activation.layer_3                           23
182         convolution.relu.pooling.layer2_2            213
167         activation.layer_3                           23
151         convolution.relu.pooling.layer2_2            171
133         activation.layer_3                           42
116         convolution.relu.pooling.layer2_2            87
95          activation.layer_3                           23
206         tensorscale.layer                            571
173         convolution.relu.pooling.layer2_2            235
171         activation.layer_3                           42
225         convolution.relu.pooling.layer2_2            235
223         activation.layer_3                           42
204         convolution.relu.pooling.layer2_2            45
188         activation.layer_3                           42
186         convolution.relu.pooling.layer2_2            122
170         activation.layer_3                           42
141         convolution.relu.pooling.layer2_2            145
139         activation.layer_3                           81
121         convolution.relu.pooling.layer2_2            73
99          activation.layer_3                           42
125         tensorscale.layer                            571
81          convolution.relu.pooling.layer2_2            835
58          activation.layer_3                           81
159         convolution.relu.pooling.layer2_2            835
142         activation.layer_3                           81
126         convolution.relu.pooling.layer2_2            105
123         activation.layer_3                           81
100         convolution.relu.pooling.layer2_2            123
80          activation.layer_3                           81
36          convolution.relu.pooling.layer2_2            211
22          activation.layer_3                           158
16          convolution.relu.pooling.layer2_2            668
6           openvx.tensor_transpose_3                    141
42          activation.layer_3                           423
61          openvx.tensor_multiply                       61
24          openvx.tensor_multiply                       483
83          openvx.tensor_multiply                       61
59          openvx.tensor_subtract                       61
38          openvx.tensor_add                            483
23          openvx.tensor_multiply                       61
137         convolution.relu.pooling.layer2_2            337
120         activation.layer_3                           42
78          convolution.relu.pooling.layer2_2            119
56          activation.layer_3                           42
153         convolution.relu.pooling.layer2_2            119
136         activation.layer_3                           42
135         convolution.relu.pooling.layer2_2            45
118         activation.layer_3                           42
96          convolution.relu.pooling.layer2_2            121
77          activation.layer_3                           42
34          convolution.relu.pooling.layer2_2            145
21          activation.layer_3                           81
15          convolution.relu.pooling.layer2_2            242
5           openvx.tensor_transpose_3                    39
47          activation.layer_3                           115
66          openvx.tensor_multiply                       15
27          openvx.tensor_multiply                       120
86          openvx.tensor_multiply                       15
64          openvx.tensor_subtract                       15
43          openvx.tensor_add                            120
26          openvx.tensor_multiply                       15
131         convolution.relu.pooling.layer2_2            434
115         activation.layer_3                           23
75          convolution.relu.pooling.layer2_2            123
54          activation.layer_3                           23
147         convolution.relu.pooling.layer2_2            123
130         activation.layer_3                           23
129         convolution.relu.pooling.layer2_2            46
113         activation.layer_3                           23
92          convolution.relu.pooling.layer2_2            206
74          activation.layer_3                           23
32          convolution.relu.pooling.layer2_2            171
20          activation.layer_3                           42
14          convolution.relu.pooling.layer2_2            93
4           openvx.tensor_transpose_3                    13
52          activation.layer_3                           38
71          openvx.tensor_multiply                       3
30          openvx.tensor_multiply                       30
89          openvx.tensor_multiply                       3
69          openvx.tensor_subtract                       3
48          openvx.tensor_add                            30
29          openvx.tensor_multiply                       3
Total Time(us): 24742
FPS(600MHz): 30.31
FPS(800MHz): 40.42
Note: Time of each layer is converted according to 800MHz!
========================================================================
