========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
205         convolution.relu.pooling.layer2_2            365
206         convolution.relu.pooling.layer2_2            365
215         convolution.relu.pooling.layer2_2            365
216         convolution.relu.pooling.layer2_2            365
192         convolution.relu.pooling.layer2_2            451
190         activation.layer_3                           622
189         convolution.relu.pooling.layer2_2            687
174         activation.layer_3                           317
172         convolution.relu.pooling.layer2_2            213
151         activation.layer_3                           158
185         convolution.relu.pooling.layer2_2            213
170         activation.layer_3                           158
203         convolution.relu.pooling.layer2_2            86
201         activation.layer_3                           158
187         convolution.relu.pooling.layer2_2            190
171         activation.layer_3                           158
150         openvx.tensor_add                            1314
131         convolution.relu.pooling.layer2_2            215
114         activation.layer_3                           313
100         convolution.relu.pooling.layer2_2            687
90          activation.layer_3                           158
77          convolution.relu.pooling.layer2_2            184
73          activation.layer_3                           81
144         convolution.relu.pooling.layer2_2            184
125         activation.layer_3                           81
168         convolution.relu.pooling.layer2_2            105
166         activation.layer_3                           81
146         convolution.relu.pooling.layer2_2            123
126         activation.layer_3                           81
110         openvx.tensor_add                            657
148         convolution.relu.pooling.layer2_2            105
130         activation.layer_3                           81
127         convolution.relu.pooling.layer2_2            123
111         activation.layer_3                           81
97          openvx.tensor_add                            657
129         convolution.relu.pooling.layer2_2            105
112         activation.layer_3                           81
98          convolution.relu.pooling.layer2_2            123
89          activation.layer_3                           81
88          openvx.tensor_add                            657
55          convolution.relu.pooling.layer2_2            211
41          activation.layer_3                           158
169         convolution.relu.pooling.layer2_2            686
164         activation.layer_3                           81
162         convolution.relu.pooling.layer2_2            73
143         activation.layer_3                           42
218         convolution.relu.pooling.layer2_2            73
207         activation.layer_3                           42
221         convolution.relu.pooling.layer2_2            45
217         activation.layer_3                           42
214         convolution.relu.pooling.layer2_2            122
208         activation.layer_3                           42
195         openvx.tensor_add                            328
212         convolution.relu.pooling.layer2_2            45
210         activation.layer_3                           42
209         convolution.relu.pooling.layer2_2            122
196         activation.layer_3                           42
181         openvx.tensor_add                            328
200         convolution.relu.pooling.layer2_2            45
198         activation.layer_3                           42
184         convolution.relu.pooling.layer2_2            122
182         activation.layer_3                           42
161         openvx.tensor_add                            328
123         convolution.relu.pooling.layer2_2            145
109         activation.layer_3                           81
178         convolution.relu.pooling.layer2_2            887
176         activation.layer_3                           42
154         convolution.relu.pooling.layer2_2            87
135         activation.layer_3                           23
156         pooling.layer2_3                             23
136         pooling.layer2_3                             23
193         pooling.layer2_3                             23
179         pooling.layer2_3                             23
157         pooling.layer2_3                             23
137         pooling.layer2_3                             23
194         pooling.layer2_3                             23
180         pooling.layer2_3                             23
160         pooling.layer2_3                             23
158         pooling.layer2_3                             23
138         pooling.layer2_3                             23
119         pooling.layer2_3                             23
104         convolution.relu.pooling.layer2_2            336
93          activation.layer_3                           42
92          convolution.relu.pooling.layer2_2            87
82          activation.layer_3                           23
152         convolution.relu.pooling.layer2_2            87
134         activation.layer_3                           23
133         convolution.relu.pooling.layer2_2            46
116         activation.layer_3                           23
102         convolution.relu.pooling.layer2_2            213
91          activation.layer_3                           23
78          convolution.relu.pooling.layer2_2            171
61          activation.layer_3                           42
45          convolution.relu.pooling.layer2_2            87
33          activation.layer_3                           23
122         tensorscale.layer                            571
95          convolution.relu.pooling.layer2_2            141
87          activation.layer_3                           42
159         convolution.relu.pooling.layer2_2            141
140         activation.layer_3                           42
139         convolution.relu.pooling.layer2_2            45
120         activation.layer_3                           42
106         convolution.relu.pooling.layer2_2            122
94          activation.layer_3                           42
84          convolution.relu.pooling.layer2_2            145
67          activation.layer_3                           81
50          convolution.relu.pooling.layer2_2            73
37          activation.layer_3                           42
54          tensorscale.layer                            571
28          convolution.relu.pooling.layer2_2            340
20          activation.layer_3                           81
86          convolution.relu.pooling.layer2_2            340
70          activation.layer_3                           81
69          convolution.relu.pooling.layer2_2            105
52          activation.layer_3                           81
38          convolution.relu.pooling.layer2_2            123
27          activation.layer_3                           81
13          convolution.relu.pooling.layer2_2            211
8           activation.layer_3                           158
5           convolution.relu.pooling.layer2_2            159
65          convolution.relu.pooling.layer2_2            338
49          activation.layer_3                           42
25          convolution.relu.pooling.layer2_2            73
18          activation.layer_3                           42
80          convolution.relu.pooling.layer2_2            73
64          activation.layer_3                           42
63          convolution.relu.pooling.layer2_2            45
47          activation.layer_3                           42
34          convolution.relu.pooling.layer2_2            121
24          activation.layer_3                           42
11          convolution.relu.pooling.layer2_2            145
7           activation.layer_3                           81
4           convolution.relu.pooling.layer2_2            43
59          convolution.relu.pooling.layer2_2            428
44          activation.layer_3                           23
22          convolution.relu.pooling.layer2_2            87
16          activation.layer_3                           23
74          convolution.relu.pooling.layer2_2            87
58          activation.layer_3                           23
57          convolution.relu.pooling.layer2_2            46
42          activation.layer_3                           23
30          convolution.relu.pooling.layer2_2            213
21          activation.layer_3                           23
9           convolution.relu.pooling.layer2_2            171
6           activation.layer_3                           42
3           convolution.relu.pooling.layer2_2            25
Total Time(us): 23302
FPS(600MHz): 32.19
FPS(800MHz): 42.91
Note: Time of each layer is converted according to 800MHz!
========================================================================
