========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
1           convolution.relu.pooling.layer2_2            1425
3           leakyrelu.layer_3                            2552
4           convolution.relu.pooling.layer2_2            2732
6           leakyrelu.layer_3                            1276
7           convolution.relu.pooling.layer2_2            834
9           leakyrelu.layer_3                            653
10          convolution.relu.pooling.layer2_2            1190
12          leakyrelu.layer_3                            1267
13          convolution.relu.pooling.layer2_2            2495
14          convolution.relu.pooling.layer2_2            2641
16          leakyrelu.layer_3                            622
17          convolution.relu.pooling.layer2_2            422
19          leakyrelu.layer_3                            313
20          convolution.relu.pooling.layer2_2            832
22          leakyrelu.layer_3                            627
23          convolution.relu.pooling.layer2_2            1258
24          convolution.relu.pooling.layer2_2            422
26          leakyrelu.layer_3                            313
27          convolution.relu.pooling.layer2_2            815
29          leakyrelu.layer_3                            627
30          convolution.relu.pooling.layer2_2            846
31          convolution.relu.pooling.layer2_2            2693
33          leakyrelu.layer_3                            313
34          convolution.relu.pooling.layer2_2            841
36          leakyrelu.layer_3                            158
37          convolution.relu.pooling.layer2_2            730
39          leakyrelu.layer_3                            313
40          convolution.relu.pooling.layer2_2            639
41          convolution.relu.pooling.layer2_2            841
43          leakyrelu.layer_3                            158
44          convolution.relu.pooling.layer2_2            876
46          leakyrelu.layer_3                            313
47          convolution.relu.pooling.layer2_2            639
48          convolution.relu.pooling.layer2_2            841
50          leakyrelu.layer_3                            158
51          convolution.relu.pooling.layer2_2            840
53          leakyrelu.layer_3                            313
54          convolution.relu.pooling.layer2_2            639
55          convolution.relu.pooling.layer2_2            841
57          leakyrelu.layer_3                            158
58          convolution.relu.pooling.layer2_2            831
60          leakyrelu.layer_3                            313
61          convolution.relu.pooling.layer2_2            639
62          convolution.relu.pooling.layer2_2            841
64          leakyrelu.layer_3                            158
65          convolution.relu.pooling.layer2_2            865
67          leakyrelu.layer_3                            313
68          convolution.relu.pooling.layer2_2            639
69          convolution.relu.pooling.layer2_2            841
71          leakyrelu.layer_3                            158
72          convolution.relu.pooling.layer2_2            841
74          leakyrelu.layer_3                            313
75          convolution.relu.pooling.layer2_2            639
76          convolution.relu.pooling.layer2_2            841
78          leakyrelu.layer_3                            158
79          convolution.relu.pooling.layer2_2            893
81          leakyrelu.layer_3                            313
82          convolution.relu.pooling.layer2_2            639
83          convolution.relu.pooling.layer2_2            841
85          leakyrelu.layer_3                            158
86          convolution.relu.pooling.layer2_2            842
88          leakyrelu.layer_3                            313
89          convolution.relu.pooling.layer2_2            639
90          convolution.relu.pooling.layer2_2            2718
92          leakyrelu.layer_3                            158
93          convolution.relu.pooling.layer2_2            281
95          leakyrelu.layer_3                            81
96          convolution.relu.pooling.layer2_2            588
98          leakyrelu.layer_3                            158
99          convolution.relu.pooling.layer2_2            119
