========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
155         convolution.relu.pooling.layer2_2            740
150         pooling.layer2_3                             919
151         convolution.relu.pooling.layer2_2            354
146         convolution.relu.pooling.layer2_2            597
136         convolution.relu.pooling.layer2_2            93
145         convolution.relu.pooling.layer2_2            496
135         convolution.relu.pooling.layer2_2            91
129         reorg2.layer_3                               347
120         convolution.relu.pooling.layer2_2            93
117         convolution.relu.pooling.layer2_2            225
111         convolution.relu.pooling.layer2_2            93
105         reorg2.layer_3                               347
96          convolution.relu.pooling.layer2_2            93
93          convolution.relu.pooling.layer2_2            225
87          convolution.relu.pooling.layer2_2            93
78          reorg2.layer_3                               347
65          convolution.relu.pooling.layer2_2            93
61          convolution.relu.pooling.layer2_2            225
52          convolution.relu.pooling.layer2_2            93
41          reorg2.layer_3                               347
199         convolution.relu.pooling.layer2_2            240
198         convolution.relu.pooling.layer2_2            393
194         convolution.relu.pooling.layer2_2            50
197         convolution.relu.pooling.layer2_2            909
193         convolution.relu.pooling.layer2_2            51
191         reorg2.layer_3                               170
188         convolution.relu.pooling.layer2_2            50
187         convolution.relu.pooling.layer2_2            70
185         convolution.relu.pooling.layer2_2            50
183         reorg2.layer_3                               170
180         convolution.relu.pooling.layer2_2            50
179         convolution.relu.pooling.layer2_2            70
177         convolution.relu.pooling.layer2_2            50
175         reorg2.layer_3                               170
172         convolution.relu.pooling.layer2_2            50
171         convolution.relu.pooling.layer2_2            70
169         convolution.relu.pooling.layer2_2            50
167         reorg2.layer_3                               170
164         convolution.relu.pooling.layer2_2            50
163         convolution.relu.pooling.layer2_2            70
161         convolution.relu.pooling.layer2_2            50
159         reorg2.layer_3                               170
149         convolution.relu.pooling.layer2_2            50
144         convolution.relu.pooling.layer2_2            70
134         convolution.relu.pooling.layer2_2            50
128         reorg2.layer_3                               170
119         convolution.relu.pooling.layer2_2            50
116         convolution.relu.pooling.layer2_2            70
110         convolution.relu.pooling.layer2_2            50
104         reorg2.layer_3                               170
95          convolution.relu.pooling.layer2_2            50
92          convolution.relu.pooling.layer2_2            70
86          convolution.relu.pooling.layer2_2            50
77          reorg2.layer_3                               170
153         convolution.relu.pooling.layer2_2            185
148         convolution.relu.pooling.layer2_2            226
138         convolution.relu.pooling.layer2_2            82
147         convolution.relu.pooling.layer2_2            329
137         convolution.relu.pooling.layer2_2            82
130         reorg2.layer_3                               87
121         convolution.relu.pooling.layer2_2            82
118         convolution.relu.pooling.layer2_2            64
112         convolution.relu.pooling.layer2_2            82
106         reorg2.layer_3                               87
97          convolution.relu.pooling.layer2_2            82
94          convolution.relu.pooling.layer2_2            64
88          convolution.relu.pooling.layer2_2            82
84          reorg2.layer_3                               87
70          convolution.relu.pooling.layer2_2            82
66          convolution.relu.pooling.layer2_2            64
59          convolution.relu.pooling.layer2_2            82
53          reorg2.layer_3                               87
35          convolution.relu.pooling.layer2_2            96
76          tensorscale.layer                            439
64          convolution.relu.pooling.layer2_2            185
80          convolution.relu.pooling.layer2_2            185
71          convolution.relu.pooling.layer2_2            29
63          convolution.relu.pooling.layer2_2            94
56          convolution.relu.pooling.layer2_2            58
38          convolution.relu.pooling.layer2_2            72
40          tensorscale.layer                            878
20          convolution.relu.pooling.layer2_2            484
48          convolution.relu.pooling.layer2_2            484
31          convolution.relu.pooling.layer2_2            99
19          convolution.relu.pooling.layer2_2            323
8           convolution.relu.pooling.layer2_2            193
5           convolution.relu.pooling.layer2_2            522
37          convolution.relu.pooling.layer2_2            791
18          convolution.relu.pooling.layer2_2            132
45          convolution.relu.pooling.layer2_2            132
29          convolution.relu.pooling.layer2_2            29
17          convolution.relu.pooling.layer2_2            94
7           convolution.relu.pooling.layer2_2            58
4           convolution.relu.pooling.layer2_2            142
34          convolution.relu.pooling.layer2_2            261
16          convolution.relu.pooling.layer2_2            132
42          convolution.relu.pooling.layer2_2            132
27          convolution.relu.pooling.layer2_2            19
15          convolution.relu.pooling.layer2_2            28
6           convolution.relu.pooling.layer2_2            39
3           convolution.relu.pooling.layer2_2            62
Total Time(us): 18232
FPS(600MHz): 41.14
FPS(800MHz): 54.85
Note: Time of each layer is converted according to 800MHz!
========================================================================
