========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
191         convolution.relu.pooling.layer2_2            291
189         activation.layer_3                           313
188         convolution.relu.pooling.layer2_2            275
172         activation.layer_3                           158
157         convolution.relu.pooling.layer2_2            63
144         activation.layer_3                           81
168         convolution.relu.pooling.layer2_2            63
155         activation.layer_3                           81
193         convolution.relu.pooling.layer2_2            46
186         activation.layer_3                           81
170         convolution.relu.pooling.layer2_2            92
156         activation.layer_3                           81
143         openvx.tensor_add                            657
130         convolution.relu.pooling.layer2_2            86
115         activation.layer_3                           158
101         convolution.relu.pooling.layer2_2            175
90          activation.layer_3                           81
77          convolution.relu.pooling.layer2_2            91
73          activation.layer_3                           42
124         convolution.relu.pooling.layer2_2            91
111         activation.layer_3                           42
141         convolution.relu.pooling.layer2_2            52
129         activation.layer_3                           42
126         convolution.relu.pooling.layer2_2            35
112         activation.layer_3                           42
98          openvx.tensor_add                            328
128         convolution.relu.pooling.layer2_2            52
113         activation.layer_3                           42
99          convolution.relu.pooling.layer2_2            35
89          activation.layer_3                           42
88          openvx.tensor_add                            328
55          convolution.relu.pooling.layer2_2            105
41          activation.layer_3                           81
154         convolution.relu.pooling.layer2_2            177
152         activation.layer_3                           42
140         convolution.relu.pooling.layer2_2            30
138         activation.layer_3                           23
201         convolution.relu.pooling.layer2_2            30
194         activation.layer_3                           23
204         convolution.relu.pooling.layer2_2            19
200         activation.layer_3                           23
199         convolution.relu.pooling.layer2_2            38
195         activation.layer_3                           23
180         openvx.tensor_add                            164
197         convolution.relu.pooling.layer2_2            19
185         activation.layer_3                           23
184         convolution.relu.pooling.layer2_2            38
181         activation.layer_3                           23
163         openvx.tensor_add                            164
182         convolution.relu.pooling.layer2_2            19
166         activation.layer_3                           23
164         convolution.relu.pooling.layer2_2            38
151         activation.layer_3                           23
150         openvx.tensor_add                            164
122         convolution.relu.pooling.layer2_2            45
110         activation.layer_3                           42
161         convolution.relu.pooling.layer2_2            232
149         activation.layer_3                           23
146         convolution.relu.pooling.layer2_2            26
133         activation.layer_3                           13
174         convolution.relu.pooling.layer2_2            26
159         activation.layer_3                           13
192         convolution.relu.pooling.layer2_2            17
178         activation.layer_3                           13
176         convolution.relu.pooling.layer2_2            64
160         activation.layer_3                           13
145         openvx.tensor_add                            82
117         convolution.relu.pooling.layer2_2            46
106         activation.layer_3                           23
103         convolution.relu.pooling.layer2_2            26
91          activation.layer_3                           13
105         pooling.layer2_3                             13
92          pooling.layer2_3                             13
94          pooling.layer2_3                             13
93          pooling.layer2_3                             13
83          pooling.layer2_3                             13
82          pooling.layer2_3                             13
78          convolution.relu.pooling.layer2_2            87
61          activation.layer_3                           23
45          convolution.relu.pooling.layer2_2            26
33          activation.layer_3                           13
121         tensorscale.layer                            285
96          convolution.relu.pooling.layer2_2            50
87          activation.layer_3                           23
148         convolution.relu.pooling.layer2_2            50
135         activation.layer_3                           23
134         convolution.relu.pooling.layer2_2            19
119         activation.layer_3                           23
107         convolution.relu.pooling.layer2_2            38
95          activation.layer_3                           23
84          convolution.relu.pooling.layer2_2            45
67          activation.layer_3                           42
50          convolution.relu.pooling.layer2_2            30
37          activation.layer_3                           23
54          tensorscale.layer                            285
28          convolution.relu.pooling.layer2_2            168
20          activation.layer_3                           42
86          convolution.relu.pooling.layer2_2            168
70          activation.layer_3                           42
69          convolution.relu.pooling.layer2_2            52
52          activation.layer_3                           42
38          convolution.relu.pooling.layer2_2            35
27          activation.layer_3                           42
13          convolution.relu.pooling.layer2_2            105
8           activation.layer_3                           81
5           convolution.relu.pooling.layer2_2            256
65          convolution.relu.pooling.layer2_2            93
49          activation.layer_3                           23
25          convolution.relu.pooling.layer2_2            30
18          activation.layer_3                           23
80          convolution.relu.pooling.layer2_2            30
64          activation.layer_3                           23
63          convolution.relu.pooling.layer2_2            19
47          activation.layer_3                           23
34          convolution.relu.pooling.layer2_2            38
24          activation.layer_3                           23
11          convolution.relu.pooling.layer2_2            45
7           activation.layer_3                           42
4           convolution.relu.pooling.layer2_2            122
59          convolution.relu.pooling.layer2_2            122
44          activation.layer_3                           13
22          convolution.relu.pooling.layer2_2            26
16          activation.layer_3                           13
74          convolution.relu.pooling.layer2_2            26
58          activation.layer_3                           13
57          convolution.relu.pooling.layer2_2            17
42          activation.layer_3                           13
30          convolution.relu.pooling.layer2_2            64
21          activation.layer_3                           13
9           convolution.relu.pooling.layer2_2            46
6           activation.layer_3                           23
3           convolution.relu.pooling.layer2_2            53
Total Time(us): 9270
FPS(600MHz): 80.91
FPS(800MHz): 107.87
Note: Time of each layer is converted according to 800MHz!
========================================================================
