========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
191         convolution.relu.pooling.layer2_2            496
189         activation.layer_3                           736
188         convolution.relu.pooling.layer2_2            1194
172         activation.layer_3                           370
157         convolution.relu.pooling.layer2_2            250
144         activation.layer_3                           187
168         convolution.relu.pooling.layer2_2            250
155         activation.layer_3                           187
193         convolution.relu.pooling.layer2_2            99
186         activation.layer_3                           187
170         convolution.relu.pooling.layer2_2            211
156         activation.layer_3                           187
143         openvx.tensor_add                            1555
130         convolution.relu.pooling.layer2_2            251
115         activation.layer_3                           370
101         convolution.relu.pooling.layer2_2            477
90          activation.layer_3                           187
77          convolution.relu.pooling.layer2_2            73
73          activation.layer_3                           95
124         convolution.relu.pooling.layer2_2            73
111         activation.layer_3                           95
141         convolution.relu.pooling.layer2_2            52
129         activation.layer_3                           95
126         convolution.relu.pooling.layer2_2            122
112         activation.layer_3                           95
98          openvx.tensor_add                            777
128         convolution.relu.pooling.layer2_2            52
113         activation.layer_3                           95
99          convolution.relu.pooling.layer2_2            122
89          activation.layer_3                           95
88          openvx.tensor_add                            777
55          convolution.relu.pooling.layer2_2            99
41          activation.layer_3                           187
154         convolution.relu.pooling.layer2_2            401
152         activation.layer_3                           95
140         convolution.relu.pooling.layer2_2            40
138         activation.layer_3                           50
201         convolution.relu.pooling.layer2_2            40
194         activation.layer_3                           50
204         convolution.relu.pooling.layer2_2            29
200         activation.layer_3                           50
199         convolution.relu.pooling.layer2_2            94
195         activation.layer_3                           50
180         openvx.tensor_add                            388
197         convolution.relu.pooling.layer2_2            29
185         activation.layer_3                           50
184         convolution.relu.pooling.layer2_2            94
181         activation.layer_3                           50
163         openvx.tensor_add                            388
182         convolution.relu.pooling.layer2_2            29
166         activation.layer_3                           50
164         convolution.relu.pooling.layer2_2            94
151         activation.layer_3                           50
150         openvx.tensor_add                            388
122         convolution.relu.pooling.layer2_2            58
110         activation.layer_3                           95
161         convolution.relu.pooling.layer2_2            527
149         activation.layer_3                           50
146         convolution.relu.pooling.layer2_2            63
133         activation.layer_3                           27
174         convolution.relu.pooling.layer2_2            63
159         activation.layer_3                           27
192         convolution.relu.pooling.layer2_2            39
178         activation.layer_3                           27
176         convolution.relu.pooling.layer2_2            93
160         activation.layer_3                           27
145         openvx.tensor_add                            194
117         convolution.relu.pooling.layer2_2            91
106         activation.layer_3                           50
103         convolution.relu.pooling.layer2_2            63
91          activation.layer_3                           27
105         pooling.layer2_3                             27
92          pooling.layer2_3                             27
94          pooling.layer2_3                             27
93          pooling.layer2_3                             27
83          pooling.layer2_3                             27
82          pooling.layer2_3                             27
78          convolution.relu.pooling.layer2_2            171
61          activation.layer_3                           50
45          convolution.relu.pooling.layer2_2            63
33          activation.layer_3                           27
121         tensorscale.layer                            439
96          convolution.relu.pooling.layer2_2            64
87          activation.layer_3                           50
148         convolution.relu.pooling.layer2_2            64
135         activation.layer_3                           50
134         convolution.relu.pooling.layer2_2            29
119         activation.layer_3                           50
107         convolution.relu.pooling.layer2_2            94
95          activation.layer_3                           50
84          convolution.relu.pooling.layer2_2            58
67          activation.layer_3                           95
50          convolution.relu.pooling.layer2_2            40
37          activation.layer_3                           50
54          tensorscale.layer                            439
28          convolution.relu.pooling.layer2_2            119
20          activation.layer_3                           95
86          convolution.relu.pooling.layer2_2            119
70          activation.layer_3                           95
69          convolution.relu.pooling.layer2_2            52
52          activation.layer_3                           95
38          convolution.relu.pooling.layer2_2            122
27          activation.layer_3                           95
13          convolution.relu.pooling.layer2_2            99
8           activation.layer_3                           187
5           convolution.relu.pooling.layer2_2            516
65          convolution.relu.pooling.layer2_2            262
49          activation.layer_3                           50
25          convolution.relu.pooling.layer2_2            40
18          activation.layer_3                           50
80          convolution.relu.pooling.layer2_2            40
64          activation.layer_3                           50
63          convolution.relu.pooling.layer2_2            29
47          activation.layer_3                           50
34          convolution.relu.pooling.layer2_2            94
24          activation.layer_3                           50
11          convolution.relu.pooling.layer2_2            58
7           activation.layer_3                           95
4           convolution.relu.pooling.layer2_2            142
59          convolution.relu.pooling.layer2_2            257
44          activation.layer_3                           27
22          convolution.relu.pooling.layer2_2            63
16          activation.layer_3                           27
74          convolution.relu.pooling.layer2_2            63
58          activation.layer_3                           27
57          convolution.relu.pooling.layer2_2            39
42          activation.layer_3                           27
30          convolution.relu.pooling.layer2_2            92
21          activation.layer_3                           27
9           convolution.relu.pooling.layer2_2            91
6           activation.layer_3                           50
3           convolution.relu.pooling.layer2_2            92
Total Time(us): 19659
FPS(600MHz): 38.15
FPS(800MHz): 50.87
Note: Time of each layer is converted according to 800MHz!
========================================================================
