========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
191         convolution.relu.pooling.layer2_2            985
189         activation.layer_3                           1623
188         convolution.relu.pooling.layer2_2            1655
172         activation.layer_3                           736
157         convolution.relu.pooling.layer2_2            495
144         activation.layer_3                           370
168         convolution.relu.pooling.layer2_2            495
155         activation.layer_3                           370
193         convolution.relu.pooling.layer2_2            251
186         activation.layer_3                           370
170         convolution.relu.pooling.layer2_2            435
156         activation.layer_3                           370
143         openvx.tensor_add                            3111
130         convolution.relu.pooling.layer2_2            498
115         activation.layer_3                           736
101         convolution.relu.pooling.layer2_2            1423
90          activation.layer_3                           378
77          convolution.relu.pooling.layer2_2            252
73          activation.layer_3                           187
124         convolution.relu.pooling.layer2_2            252
111         activation.layer_3                           187
141         convolution.relu.pooling.layer2_2            99
129         activation.layer_3                           187
126         convolution.relu.pooling.layer2_2            323
112         activation.layer_3                           187
98          openvx.tensor_add                            1555
128         convolution.relu.pooling.layer2_2            129
113         activation.layer_3                           187
99          convolution.relu.pooling.layer2_2            323
89          activation.layer_3                           187
88          openvx.tensor_add                            1555
55          convolution.relu.pooling.layer2_2            257
41          activation.layer_3                           370
154         convolution.relu.pooling.layer2_2            1573
152         activation.layer_3                           187
140         convolution.relu.pooling.layer2_2            140
138         activation.layer_3                           95
201         convolution.relu.pooling.layer2_2            140
194         activation.layer_3                           95
204         convolution.relu.pooling.layer2_2            58
200         activation.layer_3                           95
199         convolution.relu.pooling.layer2_2            278
195         activation.layer_3                           95
180         openvx.tensor_add                            777
197         convolution.relu.pooling.layer2_2            58
185         activation.layer_3                           95
184         convolution.relu.pooling.layer2_2            278
181         activation.layer_3                           95
163         openvx.tensor_add                            777
182         convolution.relu.pooling.layer2_2            58
166         activation.layer_3                           95
164         convolution.relu.pooling.layer2_2            278
151         activation.layer_3                           95
150         openvx.tensor_add                            777
122         convolution.relu.pooling.layer2_2            156
110         activation.layer_3                           187
161         convolution.relu.pooling.layer2_2            2102
149         activation.layer_3                           95
146         convolution.relu.pooling.layer2_2            171
133         activation.layer_3                           50
174         convolution.relu.pooling.layer2_2            171
159         activation.layer_3                           50
192         convolution.relu.pooling.layer2_2            91
178         activation.layer_3                           50
176         convolution.relu.pooling.layer2_2            357
160         activation.layer_3                           50
145         openvx.tensor_add                            388
117         convolution.relu.pooling.layer2_2            245
106         activation.layer_3                           95
103         convolution.relu.pooling.layer2_2            171
91          activation.layer_3                           50
105         pooling.layer2_3                             50
92          pooling.layer2_3                             50
94          pooling.layer2_3                             50
93          pooling.layer2_3                             50
83          pooling.layer2_3                             50
82          pooling.layer2_3                             50
78          convolution.relu.pooling.layer2_2            633
61          activation.layer_3                           95
45          convolution.relu.pooling.layer2_2            171
33          activation.layer_3                           50
121         tensorscale.layer                            878
96          convolution.relu.pooling.layer2_2            272
87          activation.layer_3                           95
148         convolution.relu.pooling.layer2_2            272
135         activation.layer_3                           95
134         convolution.relu.pooling.layer2_2            58
119         activation.layer_3                           95
107         convolution.relu.pooling.layer2_2            278
95          activation.layer_3                           95
84          convolution.relu.pooling.layer2_2            156
67          activation.layer_3                           187
50          convolution.relu.pooling.layer2_2            84
37          activation.layer_3                           95
54          tensorscale.layer                            878
28          convolution.relu.pooling.layer2_2            500
20          activation.layer_3                           187
86          convolution.relu.pooling.layer2_2            500
70          activation.layer_3                           187
69          convolution.relu.pooling.layer2_2            99
52          activation.layer_3                           187
38          convolution.relu.pooling.layer2_2            323
27          activation.layer_3                           187
13          convolution.relu.pooling.layer2_2            193
8           activation.layer_3                           370
5           convolution.relu.pooling.layer2_2            522
65          convolution.relu.pooling.layer2_2            777
49          activation.layer_3                           95
25          convolution.relu.pooling.layer2_2            140
18          activation.layer_3                           95
80          convolution.relu.pooling.layer2_2            140
64          activation.layer_3                           95
63          convolution.relu.pooling.layer2_2            58
47          activation.layer_3                           95
34          convolution.relu.pooling.layer2_2            277
24          activation.layer_3                           95
11          convolution.relu.pooling.layer2_2            156
7           activation.layer_3                           187
4           convolution.relu.pooling.layer2_2            165
59          convolution.relu.pooling.layer2_2            1003
44          activation.layer_3                           50
22          convolution.relu.pooling.layer2_2            338
16          activation.layer_3                           50
74          convolution.relu.pooling.layer2_2            338
58          activation.layer_3                           50
57          convolution.relu.pooling.layer2_2            91
42          activation.layer_3                           50
30          convolution.relu.pooling.layer2_2            353
21          activation.layer_3                           50
9           convolution.relu.pooling.layer2_2            245
6           activation.layer_3                           95
3           convolution.relu.pooling.layer2_2            166
Total Time(us): 44452
FPS(600MHz): 16.87
FPS(800MHz): 22.50
Note: Time of each layer is converted according to 800MHz!
========================================================================
